identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
news.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:56 UTC,2025-09-08 07:17:56 UTC
almglobal.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-26 09:05:40 UTC,2025-03-26 09:05:40 UTC
cn-ftp.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:14 UTC,2025-03-31 17:15:14 UTC
baldorconfig.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:01 UTC,2025-08-04 14:58:01 UTC
buildingproductslabeling.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
hec.esm.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:12:03 UTC,2025-09-08 07:12:03 UTC
products.electrificationtools.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:30 UTC,2025-09-08 07:18:30 UTC
rfat.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:31 UTC,2025-09-08 07:18:31 UTC
abb-rcp-comm-drives.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:13 UTC,2025-03-31 17:15:13 UTC
digitalfactory.robotics.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
redirect.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:31 UTC,2025-09-08 07:18:31 UTC
dima.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
ccrp.e.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:03 UTC,2025-08-04 14:58:03 UTC
cn.mybuildings.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:04 UTC,2025-08-04 14:58:04 UTC
gr.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:11:58 UTC,2025-09-08 07:11:58 UTC
econfigure.xe.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:41 UTC,2025-09-04 06:25:41 UTC
ee.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:26:06 UTC,2025-09-04 06:26:06 UTC
apps.cn.mybuildings.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:12 UTC,2025-03-31 17:15:12 UTC
e-process.abb.com.cn,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-03-31 17:15:16 UTC,2025-03-31 17:15:16 UTC
busy-buildsystem.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
capitalmarketsday.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
candidate-verification.in.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-08-04 14:58:02 UTC,2025-08-04 14:58:02 UTC
contractor-safety.ch.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-04 06:25:39 UTC,2025-09-04 06:25:39 UTC
ph.inside.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:18:29 UTC,2025-09-08 07:18:29 UTC
sensorfact.energy,URL,,false,true,,,,critical,,2026-07-01 10:25:52 UTC,2026-07-01 10:25:52 UTC
mcstaging.webshop.robotics.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:38 UTC,2025-09-08 07:17:38 UTC
myrobot.abb.com,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-09-08 07:17:56 UTC,2025-09-08 07:17:56 UTC
psa.abb.com.br,URL,,false,true,not_defined,not_defined,not_defined,critical,,2025-07-14 07:25:14 UTC,2025-07-14 07:25:14 UTC
